Date,Open,High,Low,Close,Adj Close,Volume
2021-11-23,89.709999,90.650002,87.360001,89.419998,89.158058,4266600
2021-11-24,88.260002,90.099998,87.190002,90.050003,89.786217,2702400
2021-11-26,88.739998,89.389999,85.940002,86.449997,86.196754,4685200
2021-11-29,88.639999,90.739998,88.320000,90.290001,90.025513,3385700
2021-11-30,89.870003,90.970001,86.720001,87.610001,87.353363,6849200
2021-12-01,89.650002,90.599998,84.480003,84.639999,84.392059,5423100
2021-12-02,84.099998,86.650002,83.440002,85.889999,85.638397,6479900
2021-12-03,86.440002,86.910004,81.019997,82.900002,82.657158,6593100
2021-12-06,83.089996,84.809998,81.239998,84.260002,84.013176,4638700
2021-12-07,87.150002,89.540001,87.150002,89.330002,89.068321,4076400
2021-12-08,89.419998,90.150002,88.550003,90.080002,89.816132,3346200
2021-12-09,89.519997,90.330002,87.320000,87.419998,87.163918,3808100
2021-12-10,88.680000,89.410004,87.250000,89.309998,89.048378,3287800
2021-12-13,89.290001,89.410004,86.559998,86.720001,86.465973,3456900
2021-12-14,84.489998,85.750000,82.959999,84.980003,84.731071,4806400
2021-12-15,84.790001,88.930000,83.019997,88.779999,88.519936,5984100
2021-12-16,89.239998,89.410004,83.480003,84.239998,83.993233,6138500
2021-12-17,82.639999,85.220001,81.989998,83.379997,83.135750,6737600
2021-12-20,81.209999,82.070000,80.330002,81.699997,81.460670,5779900
2021-12-21,83.160004,85.519997,81.519997,85.360001,85.109955,4332900
2021-12-22,85.230003,87.529999,84.949997,87.459999,87.203796,3696300
2021-12-23,87.599998,89.449997,87.540001,88.800003,88.539879,3579300
2021-12-27,89.400002,91.669998,89.339996,91.650002,91.381531,3628400
2021-12-28,92.099998,92.250000,90.440002,90.900002,90.633728,4493700
2021-12-29,90.919998,91.480003,89.709999,90.820000,90.553955,3335900
2021-12-30,90.709999,91.709999,89.989998,90.190002,89.925804,2885600
2021-12-31,89.930000,90.550003,88.910004,89.019997,88.759224,5252600
2022-01-03,89.650002,90.959999,88.690002,90.870003,90.603813,6160900
2022-01-04,91.080002,91.099998,87.029999,88.489998,88.230782,6040200
2022-01-05,87.699997,88.209999,82.940002,82.989998,82.746895,9708000
2022-01-06,82.190002,84.349998,81.220001,82.930000,82.687073,10540400
2022-01-07,82.889999,83.650002,80.330002,81.099998,80.862427,7428200
2022-01-10,78.970001,81.430000,76.610001,81.290001,81.051872,13221700
2022-01-11,80.849998,83.699997,79.959999,83.680000,83.434875,10806500
2022-01-12,84.830002,85.510002,83.290001,84.339996,84.092934,8201800
2022-01-13,84.879997,85.209999,79.669998,80.070000,79.835449,10788100
2022-01-14,78.970001,81.199997,78.919998,81.080002,80.842491,11835700
2022-01-18,78.500000,79.430000,76.690002,77.099998,76.874146,9511400
2022-01-19,77.639999,78.730003,75.220001,75.320000,75.099365,10766800
2022-01-20,76.650002,78.349998,73.129997,73.330002,73.115196,9052500
2022-01-21,72.449997,73.529999,69.169998,69.199997,68.997284,15073900
2022-01-24,67.019997,70.180000,62.369999,70.040001,69.834831,20020500
2022-01-25,67.230003,69.010002,65.309998,66.540001,66.345085,22615500
2022-01-26,69.650002,71.190002,64.980003,66.650002,66.454765,13075600
2022-01-27,68.320000,69.029999,64.699997,65.099998,64.909302,15726900
2022-01-28,65.839996,69.269997,63.910000,69.269997,69.067085,17271300
2022-01-31,69.709999,73.839996,69.080002,73.709999,73.494080,7577400
2022-02-01,74.139999,74.870003,72.000000,74.589996,74.371498,7106800
2022-02-02,76.370003,76.449997,74.089996,75.839996,75.617836,7433300
2022-02-03,71.690002,73.080002,69.209999,69.620003,69.416061,10128100
2022-02-04,69.849998,72.720001,69.019997,71.400002,71.190849,6084300
2022-02-07,71.580002,72.589996,69.730003,70.279999,70.074127,6503200
2022-02-08,69.779999,72.250000,69.320000,71.860001,71.649498,5341400
2022-02-09,73.629997,74.910004,73.019997,74.910004,74.690567,5218500
2022-02-10,71.879997,74.739998,70.690002,71.500000,71.290550,10459500
2022-02-11,71.459999,72.099998,66.419998,66.989998,66.793762,10483500
2022-02-14,66.669998,68.419998,65.690002,67.169998,66.973236,10726800
2022-02-15,69.180000,70.500000,68.760002,70.459999,70.253601,6157400
2022-02-16,69.500000,70.779999,68.260002,70.389999,70.183807,6580500
2022-02-17,69.029999,69.339996,66.019997,66.209999,66.016045,6021200
2022-02-18,66.519997,66.690002,63.779999,64.680000,64.490532,8675200
2022-02-22,63.509998,65.620003,61.970001,63.369999,63.184368,9192000
2022-02-23,64.570000,64.889999,60.009998,60.150002,59.973801,10344500
2022-02-24,56.240002,64.320000,56.119999,64.180000,63.991997,15662300
2022-02-25,64.449997,66.199997,62.970001,66.160004,65.966202,8906000
2022-02-28,64.889999,67.180000,64.440002,66.669998,66.474701,7985600
2022-03-01,66.120003,67.010002,63.529999,64.480003,64.291122,7683300
2022-03-02,65.089996,67.120003,64.010002,66.599998,66.404907,6543900
2022-03-03,67.720001,67.730003,64.000000,64.699997,64.510468,6630700
2022-03-04,63.790001,64.349998,61.950001,62.880001,62.695805,6028600
2022-03-07,62.849998,63.279999,58.130001,58.209999,58.039482,7738500
2022-03-08,57.910000,61.189999,56.430000,57.639999,57.471153,14677000
2022-03-09,60.680000,62.299999,59.720001,61.860001,61.678791,7732500
2022-03-10,60.240002,60.880001,58.750000,60.470001,60.292866,7403200
2022-03-11,61.540001,61.650002,57.740002,57.910000,57.740364,5921300
2022-03-14,57.470001,58.689999,55.430000,55.720001,55.556778,8520300
